company_name,search_type,source_type,title,url,content,gemini_summary,detected_signals,lead_score,reason,scraped_at
Saudi AI,News,Website,"Intelligent AI, Data, and Automation Summit",https://saudi.idasummit.com,"Notably, recent studies show that over half of Saudi organizations are actively prioritizing AI and automation initiatives within the coming year","Saudi Arabia is undergoing a significant national AI transformation, designating 2026 as the 'Year of AI' and projecting its AI market to grow from $1.5 billion by 2025 to $6.8 billion by 2030. The Saudi Data & AI Authority (SDAIA) leads this agenda, supported by entities like SCAI (Saudi Company for Artificial Intelligence) and FusionAI, which are providing advanced AI and automation solutions for government and enterprises. The Kingdom is actively addressing a talent gap and seeking international partnerships to solidify its position as a global AI leader.","AI Interest, Automation Need, Data Analytics Need, Digital Transformation, Growth / Expansion, Hiring / Talent, Proposal / RFP Opportunity, General Business Signal",95,"Saudi Arabia demonstrates extremely high intent and investment in AI, designating 2026 as the 'Year of AI' and projecting substantial market growth. There is strong government leadership (SDAIA), active development by dedicated AI companies (SCAI, FusionAI), a clear talent gap to fill, and an explicit search for partnerships and solutions across both public and private sectors.",2026-06-11 20:06:07
Saudi AI,News,LinkedIn,"AI Enablement in Saudi Arabia: Challenges, Automation, and ...",https://www.linkedin.com/pulse/ai-enablement-saudi-arabia-challenges-automation-workforce-asyar-vuztf,Reports show a 20–50% gap between Saudi market needs and available AI talent. · 40% of cyberattacks on Saudi organizations were successful in,"Saudi Arabia is undergoing a significant national AI transformation, designating 2026 as the 'Year of AI' and projecting its AI market to grow from $1.5 billion by 2025 to $6.8 billion by 2030. The Saudi Data & AI Authority (SDAIA) leads this agenda, supported by entities like SCAI (Saudi Company for Artificial Intelligence) and FusionAI, which are providing advanced AI and automation solutions for government and enterprises. The Kingdom is actively addressing a talent gap and seeking international partnerships to solidify its position as a global AI leader.","AI Interest, Automation Need, Data Analytics Need, Digital Transformation, Growth / Expansion, Hiring / Talent, Proposal / RFP Opportunity, General Business Signal",95,"Saudi Arabia demonstrates extremely high intent and investment in AI, designating 2026 as the 'Year of AI' and projecting substantial market growth. There is strong government leadership (SDAIA), active development by dedicated AI companies (SCAI, FusionAI), a clear talent gap to fill, and an explicit search for partnerships and solutions across both public and private sectors.",2026-06-11 20:06:07
Saudi AI,Official Website,Website,Emerging Technologies Adoption | National Platform (National Portal),https://my.gov.sa/en/content/175,Saudi Data & AI Authority (SDAIA): Leads the national agenda for data and AI to position Saudi Arabia among the world's most advanced data-driven economies.,"Saudi Arabia is undergoing a significant national AI transformation, designating 2026 as the 'Year of AI' and projecting its AI market to grow from $1.5 billion by 2025 to $6.8 billion by 2030. The Saudi Data & AI Authority (SDAIA) leads this agenda, supported by entities like SCAI (Saudi Company for Artificial Intelligence) and FusionAI, which are providing advanced AI and automation solutions for government and enterprises. The Kingdom is actively addressing a talent gap and seeking international partnerships to solidify its position as a global AI leader.","AI Interest, Automation Need, Data Analytics Need, Digital Transformation, Growth / Expansion, Hiring / Talent, Proposal / RFP Opportunity, General Business Signal",95,"Saudi Arabia demonstrates extremely high intent and investment in AI, designating 2026 as the 'Year of AI' and projecting substantial market growth. There is strong government leadership (SDAIA), active development by dedicated AI companies (SCAI, FusionAI), a clear talent gap to fill, and an explicit search for partnerships and solutions across both public and private sectors.",2026-06-11 20:06:07
Saudi AI,LinkedIn Public Results,LinkedIn,SCAI | سكاي - Saudi Company for Artificial Intelligence الشركة السعودية للذكاء الاصطناعي,https://www.linkedin.com/company/scai-sa,"Overview:
SCAI (Saudi Company for Artificial Intelligence) Fully owned by PIF. Was founded to contribute in positioning KSA as a global AI leader through offering innovative transformational solutions. We enable the ecosystem to shape the future of AI through best-in-class partnerships, targeted investments and strategic capabilities addressing market gaps globally. سكاي (الشركة السعودية للذكاء الاصطناعي) هي إحدى شركات صندوق الاستثمارات العامة والمتخصصة في مجال الذكاء الاصطناعي والتقنيات الحديثة؛ تم تأسيسها لأجل هدفٍ محدد وهو إحداث أثر ذو قيمة على مستوى العالم من خلال قيادة وبناء مستقبل الذكاء الاصطناعي بتوظيف أفضل الشراكات والاستثمارات.

Website: https://www.scai.sa/
Crunchbase Url: N/A
Linkedin Url: N/A

Industry:
IT Services and IT Consulting

Company size:
201-500 employees
93 associated members (LinkedIn members who’ve listed SCAI | سكاي as their current workplace on their profile)

Founded:
2021

Funding:
Last Round Date: N/A
Last Round Type: N/A
Total Rounds: N/A
Last Round Raised: N/A

Investors:
N/A","Saudi Arabia is undergoing a significant national AI transformation, designating 2026 as the 'Year of AI' and projecting its AI market to grow from $1.5 billion by 2025 to $6.8 billion by 2030. The Saudi Data & AI Authority (SDAIA) leads this agenda, supported by entities like SCAI (Saudi Company for Artificial Intelligence) and FusionAI, which are providing advanced AI and automation solutions for government and enterprises. The Kingdom is actively addressing a talent gap and seeking international partnerships to solidify its position as a global AI leader.","AI Interest, Automation Need, Data Analytics Need, Digital Transformation, Growth / Expansion, Hiring / Talent, Proposal / RFP Opportunity, General Business Signal",95,"Saudi Arabia demonstrates extremely high intent and investment in AI, designating 2026 as the 'Year of AI' and projecting substantial market growth. There is strong government leadership (SDAIA), active development by dedicated AI companies (SCAI, FusionAI), a clear talent gap to fill, and an explicit search for partnerships and solutions across both public and private sectors.",2026-06-11 20:06:07
Saudi AI,LinkedIn Public Results,LinkedIn,‏FusionAI‏ | LinkedIn,https://sa.linkedin.com/company/fusionai-sa,"Overview:
FusionAI is a Saudi AI company providing end-to-end platforms for managing infrastructure, deploying large language models, and enabling intelligent automation. Its integrated ecosystem unifies the entire AI lifecycle into one orchestrated stack—covering infrastructure management, model deployment, agentic workflows, and enterprise applications. Core products include FusionNative, a lifecycle management platform for deploying, scaling, monitoring, and governing LLMs, FusionAgentic, a no-code platform to design and launch AI agents, FusionGPT, secure enterprise-grade language models; and FusionBase, a scalable database service optimized for AI. By integrating infrastructure, models, automation, and applications into a single orchestrated stack, FusionAI helps governments and enterprises reduce costs, improve efficiency, and accelerate innovation.

Website: https://fusionai.sa/
Crunchbase Url: N/A
Linkedin Url: N/A

Industry:
IT Services and IT Consulting

Company size:
51-200 employees
8 associated members (LinkedIn members who’ve listed FusionAI as their current workplace on their profile)

Founded:
2025

Funding:
Last Round Date: N/A
Last Round Type: N/A
Total Rounds: N/A
Last Round Raised: N/A

Investors:
N/A","Saudi Arabia is undergoing a significant national AI transformation, designating 2026 as the 'Year of AI' and projecting its AI market to grow from $1.5 billion by 2025 to $6.8 billion by 2030. The Saudi Data & AI Authority (SDAIA) leads this agenda, supported by entities like SCAI (Saudi Company for Artificial Intelligence) and FusionAI, which are providing advanced AI and automation solutions for government and enterprises. The Kingdom is actively addressing a talent gap and seeking international partnerships to solidify its position as a global AI leader.","AI Interest, Automation Need, Data Analytics Need, Digital Transformation, Growth / Expansion, Hiring / Talent, Proposal / RFP Opportunity, General Business Signal",95,"Saudi Arabia demonstrates extremely high intent and investment in AI, designating 2026 as the 'Year of AI' and projecting substantial market growth. There is strong government leadership (SDAIA), active development by dedicated AI companies (SCAI, FusionAI), a clear talent gap to fill, and an explicit search for partnerships and solutions across both public and private sectors.",2026-06-11 20:06:07
Saudi AI,X / Twitter Public Results,X / Twitter,"In the Saudi AI Year, the Kingdom is leading the world in Artificial ...",https://x.com/CICSaudi/status/2044673394176643076,"In the Saudi AI Year, the Kingdom is leading the world in Artificial Intelligence & Digital readiness. CIC Saudi Arabia's Image on X.","Saudi Arabia is undergoing a significant national AI transformation, designating 2026 as the 'Year of AI' and projecting its AI market to grow from $1.5 billion by 2025 to $6.8 billion by 2030. The Saudi Data & AI Authority (SDAIA) leads this agenda, supported by entities like SCAI (Saudi Company for Artificial Intelligence) and FusionAI, which are providing advanced AI and automation solutions for government and enterprises. The Kingdom is actively addressing a talent gap and seeking international partnerships to solidify its position as a global AI leader.","AI Interest, Automation Need, Data Analytics Need, Digital Transformation, Growth / Expansion, Hiring / Talent, Proposal / RFP Opportunity, General Business Signal",95,"Saudi Arabia demonstrates extremely high intent and investment in AI, designating 2026 as the 'Year of AI' and projecting substantial market growth. There is strong government leadership (SDAIA), active development by dedicated AI companies (SCAI, FusionAI), a clear talent gap to fill, and an explicit search for partnerships and solutions across both public and private sectors.",2026-06-11 20:06:07
Saudi AI,X / Twitter Public Results,X / Twitter,Saudi Arabia designates 2026 as the Year of AI,https://x.com/Saudi_Gazette/status/2031792270358561142,"Saudi Arabia has designated 2026 as the Year of Artificial Intelligence, underscoring the Kingdom's accelerating push to position itself as","Saudi Arabia is undergoing a significant national AI transformation, designating 2026 as the 'Year of AI' and projecting its AI market to grow from $1.5 billion by 2025 to $6.8 billion by 2030. The Saudi Data & AI Authority (SDAIA) leads this agenda, supported by entities like SCAI (Saudi Company for Artificial Intelligence) and FusionAI, which are providing advanced AI and automation solutions for government and enterprises. The Kingdom is actively addressing a talent gap and seeking international partnerships to solidify its position as a global AI leader.","AI Interest, Automation Need, Data Analytics Need, Digital Transformation, Growth / Expansion, Hiring / Talent, Proposal / RFP Opportunity, General Business Signal",95,"Saudi Arabia demonstrates extremely high intent and investment in AI, designating 2026 as the 'Year of AI' and projecting substantial market growth. There is strong government leadership (SDAIA), active development by dedicated AI companies (SCAI, FusionAI), a clear talent gap to fill, and an explicit search for partnerships and solutions across both public and private sectors.",2026-06-11 20:06:07
Saudi AI,Company Blog,Blog,Saudi Arabia's AI Transformation: Comprehensive Insights on Large Language Models and Agentic AI Advancement,https://aniskoubaa.org/blogs/saudi_ai_ecosystem_en.html,"# Saudi Arabia's AI Transformation: Comprehensive Insights on Large Language Models and Agentic AI Advancement. Over the past decade, Saudi Arabia has steadily transformed its global identity—from a nation historically defined by its energy exports to a forward-looking powerhouse in technology and innovation. This shift not only diversifies the economy but also positions Saudi Arabia as a beacon of technological progress in the Middle East and beyond, fostering international collaborations and inspiring the Global South. By August 2025, Saudi Arabia's AI market is valued at **$1.5 billion**, with projections soaring to **$6.8 billion by 2030**. The Kingdom's efforts, in collaboration with international partners, have achieved significant recognition for rapid growth in AI employment and advanced model development, alongside building a strong foundation of specialized talent, according to the Stanford AI Index 2025. This international recognition confirms the effectiveness of Saudi Arabia's collaborative approach, combining local vision with global partnerships to build a sustainable and innovative ecosystem.","Saudi Arabia is undergoing a significant national AI transformation, designating 2026 as the 'Year of AI' and projecting its AI market to grow from $1.5 billion by 2025 to $6.8 billion by 2030. The Saudi Data & AI Authority (SDAIA) leads this agenda, supported by entities like SCAI (Saudi Company for Artificial Intelligence) and FusionAI, which are providing advanced AI and automation solutions for government and enterprises. The Kingdom is actively addressing a talent gap and seeking international partnerships to solidify its position as a global AI leader.","AI Interest, Automation Need, Data Analytics Need, Digital Transformation, Growth / Expansion, Hiring / Talent, Proposal / RFP Opportunity, General Business Signal",95,"Saudi Arabia demonstrates extremely high intent and investment in AI, designating 2026 as the 'Year of AI' and projecting substantial market growth. There is strong government leadership (SDAIA), active development by dedicated AI companies (SCAI, FusionAI), a clear talent gap to fill, and an explicit search for partnerships and solutions across both public and private sectors.",2026-06-11 20:06:07
Saudi AI,Company Blog,News,SDAIA | ​​ AI-​Newsletter,https://sdaia.gov.sa/en/MediaCenter/KnowledgeCenter/Pages/AI-Newsletter.aspx,A weekly knowledge newsletter issued by the Saudi Data & AI Authority (SDAIA) that highlights key AI news and technological developments on the global stage,"Saudi Arabia is undergoing a significant national AI transformation, designating 2026 as the 'Year of AI' and projecting its AI market to grow from $1.5 billion by 2025 to $6.8 billion by 2030. The Saudi Data & AI Authority (SDAIA) leads this agenda, supported by entities like SCAI (Saudi Company for Artificial Intelligence) and FusionAI, which are providing advanced AI and automation solutions for government and enterprises. The Kingdom is actively addressing a talent gap and seeking international partnerships to solidify its position as a global AI leader.","AI Interest, Automation Need, Data Analytics Need, Digital Transformation, Growth / Expansion, Hiring / Talent, Proposal / RFP Opportunity, General Business Signal",95,"Saudi Arabia demonstrates extremely high intent and investment in AI, designating 2026 as the 'Year of AI' and projecting substantial market growth. There is strong government leadership (SDAIA), active development by dedicated AI companies (SCAI, FusionAI), a clear talent gap to fill, and an explicit search for partnerships and solutions across both public and private sectors.",2026-06-11 20:06:07
AL Master,News,Website,Automating Master Data Management with AI - Newbury Partners,https://newburypartners.com/automating-master-data-management-ai,"Here, we'll cover how Artificial Intelligence (AI) can manage MDM. AI can automate manual processes, improve data quality, provide predictive insights, and much","AL Master is a full-service IT company operating in the MENA region, specializing in pioneering digital transformation. They offer innovative technical solutions including website development, e-marketing, and graphic design, aimed at empowering companies in the Arab world.","AI Interest, Automation Need, Data Analytics Need, Digital Transformation, Growth / Expansion, General Business Signal",85,"AL Master is an active IT services company focused on digital transformation across the MENA region, offering solutions highly aligned with modern AI, automation, and data needs, making them a strong prospect for relevant B2B services.",2026-06-11 20:06:07
